 time            v(vout)        
 2.70280000e-03  1.32729363e-07 
 2.71280000e-03  1.32898477e-07 
 2.72280000e-03  1.33029572e-07 
 2.73280000e-03  1.33120448e-07 
 2.74280000e-03  1.33169745e-07 
 2.75280000e-03  1.33176570e-07 
 2.76280000e-03  1.33140908e-07 
 2.77280000e-03  1.33063228e-07 
 2.78280000e-03  1.32944867e-07 
 2.79280000e-03  1.32787616e-07 
 2.80280000e-03  1.32594086e-07 
 2.81280000e-03  1.32367263e-07 
 2.82280000e-03  1.32110863e-07 
 2.83280000e-03  1.31828866e-07 
 2.84280000e-03  1.31525855e-07 
 2.85280000e-03  1.31206540e-07 
 2.86280000e-03  1.30876078e-07 
 2.87280000e-03  1.30539596e-07 
 2.88280000e-03  1.30202504e-07 
 2.89280000e-03  1.29870013e-07 
 2.90280000e-03  1.29547451e-07 
 2.91280000e-03  1.29239779e-07 
 2.92280000e-03  1.28951916e-07 
 2.93280000e-03  1.28688265e-07 
 2.94280000e-03  1.28453040e-07 
 2.95280000e-03  1.28249809e-07 
 2.96280000e-03  1.28081834e-07 
 2.97280000e-03  1.27951629e-07 
 2.98280000e-03  1.27861314e-07 
 2.99280000e-03  1.27812193e-07 
 3.00280000e-03  1.27805128e-07 
 3.01280000e-03  1.27840127e-07 
 3.02280000e-03  1.27916747e-07 
 3.03280000e-03  1.28033698e-07 
 3.04280000e-03  1.28189264e-07 
 3.05280000e-03  1.28380925e-07 
 3.06280000e-03  1.28605800e-07 
 3.07280000e-03  1.28860284e-07 
 3.08280000e-03  1.29140508e-07 
 3.09280000e-03  1.29441991e-07 
 3.10280000e-03  1.29760115e-07 
 3.11280000e-03  1.30089792e-07 
 3.12280000e-03  1.30425941e-07 
 3.13280000e-03  1.30763173e-07 
 3.14280000e-03  1.31096267e-07 
 3.15280000e-03  1.31419861e-07 
 3.16280000e-03  1.31728932e-07 
 3.17280000e-03  1.32018478e-07 
 3.18280000e-03  1.32283999e-07 
 3.19280000e-03  1.32521172e-07 
 3.20280000e-03  1.32726317e-07 
 3.21280000e-03  1.32896063e-07 
 3.22280000e-03  1.33027800e-07 
 3.23280000e-03  1.33119324e-07 
 3.24280000e-03  1.33169274e-07 
 3.25280000e-03  1.33176753e-07 
 3.26280000e-03  1.33141746e-07 
 3.27280000e-03  1.33064716e-07 
 3.28280000e-03  1.32947000e-07 
 3.29280000e-03  1.32790386e-07 
 3.30280000e-03  1.32597481e-07 
 3.31280000e-03  1.32371270e-07 
 3.32280000e-03  1.32115465e-07 
 3.33280000e-03  1.31834046e-07 
 3.34280000e-03  1.31531592e-07 
 3.35280000e-03  1.31212811e-07 
 3.36280000e-03  1.30882858e-07 
 3.37280000e-03  1.30546858e-07 
 3.38280000e-03  1.30210220e-07 
 3.39280000e-03  1.29878152e-07 
 3.40280000e-03  1.29555981e-07 
 3.41280000e-03  1.29248666e-07 
 3.42280000e-03  1.28961125e-07 
 3.43280000e-03  1.28697760e-07 
 3.44280000e-03  1.28462784e-07 
 3.45280000e-03  1.28259762e-07 
 3.46280000e-03  1.28091958e-07 
 3.47280000e-03  1.27961884e-07 
 3.48280000e-03  1.27871660e-07 
 3.49280000e-03  1.27822589e-07 
 3.50280000e-03  1.27815532e-07 
 3.51280000e-03  1.27850499e-07 
 3.52280000e-03  1.27927047e-07 
 3.53280000e-03  1.28043885e-07 
 3.54280000e-03  1.28199297e-07 
 3.55280000e-03  1.28390766e-07 
 3.56280000e-03  1.28615409e-07 
 3.57280000e-03  1.28869624e-07 
 3.58280000e-03  1.29149541e-07 
 3.59280000e-03  1.29450682e-07 
 3.60280000e-03  1.29768430e-07 
 3.61280000e-03  1.30097698e-07 
 3.62280000e-03  1.30433407e-07 
 3.63280000e-03  1.30770169e-07 
 3.64280000e-03  1.31102765e-07 
 3.65280000e-03  1.31425836e-07 
 3.66280000e-03  1.31734359e-07 
 3.67280000e-03  1.32023336e-07 
 3.68280000e-03  1.32288270e-07 
 3.69280000e-03  1.32524837e-07 
 3.70280000e-03  1.32729363e-07 
 3.71280000e-03  1.32898477e-07 
 3.72280000e-03  1.33029572e-07 
 3.73280000e-03  1.33120448e-07 
 3.74280000e-03  1.33169745e-07 
 3.75280000e-03  1.33176570e-07 
 3.76280000e-03  1.33140908e-07 
 3.77280000e-03  1.33063228e-07 
 3.78280000e-03  1.32944867e-07 
 3.79280000e-03  1.32787617e-07 
 3.80280000e-03  1.32594086e-07 
 3.81280000e-03  1.32367263e-07 
 3.82280000e-03  1.32110863e-07 
 3.83280000e-03  1.31828866e-07 
 3.84280000e-03  1.31525856e-07 
 3.85280000e-03  1.31206540e-07 
 3.86280000e-03  1.30876078e-07 
 3.87280000e-03  1.30539596e-07 
 3.88280000e-03  1.30202504e-07 
 3.89280000e-03  1.29870013e-07 
 3.90280000e-03  1.29547451e-07 
 3.91280000e-03  1.29239779e-07 
 3.92280000e-03  1.28951916e-07 
 3.93280000e-03  1.28688265e-07 
 3.94280000e-03  1.28453040e-07 
 3.95280000e-03  1.28249809e-07 
 3.96280000e-03  1.28081834e-07 
 3.97280000e-03  1.27951628e-07 
 3.98280000e-03  1.27861314e-07 
 3.99280000e-03  1.27812193e-07 
 4.00280000e-03  1.27805128e-07 
 4.01280000e-03  1.27840127e-07 
 4.02280000e-03  1.27916747e-07 
 4.03280000e-03  1.28033698e-07 
 4.04280000e-03  1.28189264e-07 
 4.05280000e-03  1.28380925e-07 
 4.06280000e-03  1.28605800e-07 
 4.07280000e-03  1.28860284e-07 
 4.08280000e-03  1.29140508e-07 
 4.09280000e-03  1.29441991e-07 
 4.10280000e-03  1.29760115e-07 
 4.11280000e-03  1.30089792e-07 
 4.12280000e-03  1.30425942e-07 
 4.13280000e-03  1.30763173e-07 
 4.14280000e-03  1.31096267e-07 
 4.15280000e-03  1.31419861e-07 
 4.16280000e-03  1.31728932e-07 
 4.17280000e-03  1.32018478e-07 
 4.18280000e-03  1.32283999e-07 
 4.19280000e-03  1.32521172e-07 
 4.20280000e-03  1.32726317e-07 
 4.21280000e-03  1.32896063e-07 
 4.22280000e-03  1.33027800e-07 
 4.23280000e-03  1.33119324e-07 
 4.24280000e-03  1.33169274e-07 
 4.25280000e-03  1.33176753e-07 
 4.26280000e-03  1.33141746e-07 
 4.27280000e-03  1.33064716e-07 
 4.28280000e-03  1.32947000e-07 
 4.29280000e-03  1.32790386e-07 
 4.30280000e-03  1.32597481e-07 
 4.31280000e-03  1.32371270e-07 
 4.32280000e-03  1.32115465e-07 
 4.33280000e-03  1.31834046e-07 
 4.34280000e-03  1.31531592e-07 
 4.35280000e-03  1.31212811e-07 
 4.36280000e-03  1.30882858e-07 
 4.37280000e-03  1.30546858e-07 
 4.38280000e-03  1.30210220e-07 
 4.39280000e-03  1.29878152e-07 
 4.40280000e-03  1.29555981e-07 
 4.41280000e-03  1.29248666e-07 
 4.42280000e-03  1.28961125e-07 
 4.43280000e-03  1.28697760e-07 
 4.44280000e-03  1.28462783e-07 
 4.45280000e-03  1.28259762e-07 
 4.46280000e-03  1.28091958e-07 
 4.47280000e-03  1.27961884e-07 
 4.48280000e-03  1.27871660e-07 
 4.49280000e-03  1.27822589e-07 
 4.50280000e-03  1.27815532e-07 
 4.51280000e-03  1.27850499e-07 
 4.52280000e-03  1.27927046e-07 
 4.53280000e-03  1.28043885e-07 
 4.54280000e-03  1.28199297e-07 
 4.55280000e-03  1.28390766e-07 
 4.56280000e-03  1.28615409e-07 
 4.57280000e-03  1.28869624e-07 
 4.58280000e-03  1.29149541e-07 
 4.59280000e-03  1.29450683e-07 
 4.60280000e-03  1.29768430e-07 
 4.61280000e-03  1.30097698e-07 
 4.62280000e-03  1.30433407e-07 
 4.63280000e-03  1.30770169e-07 
 4.64280000e-03  1.31102765e-07 
 4.65280000e-03  1.31425836e-07 
 4.66280000e-03  1.31734359e-07 
 4.67280000e-03  1.32023337e-07 
 4.68280000e-03  1.32288270e-07 
 4.69280000e-03  1.32524837e-07 
 4.70280000e-03  1.32729363e-07 
 4.71280000e-03  1.32898477e-07 
 4.72280000e-03  1.33029572e-07 
 4.73280000e-03  1.33120448e-07 
 4.74280000e-03  1.33169745e-07 
 4.75280000e-03  1.33176570e-07 
 4.76280000e-03  1.33140908e-07 
 4.77280000e-03  1.33063228e-07 
 4.78280000e-03  1.32944867e-07 
 4.79280000e-03  1.32787617e-07 
 4.80280000e-03  1.32594086e-07 
 4.81280000e-03  1.32367263e-07 
 4.82280000e-03  1.32110863e-07 
 4.83280000e-03  1.31828866e-07 
 4.84280000e-03  1.31525856e-07 
 4.85280000e-03  1.31206540e-07 
 4.86280000e-03  1.30876078e-07 
 4.87280000e-03  1.30539596e-07 
 4.88280000e-03  1.30202504e-07 
 4.89280000e-03  1.29870013e-07 
 4.90280000e-03  1.29547451e-07 
 4.91280000e-03  1.29239779e-07 
 4.92280000e-03  1.28951916e-07 
 4.93280000e-03  1.28688265e-07 
 4.94280000e-03  1.28453040e-07 
 4.95280000e-03  1.28249809e-07 
 4.96280000e-03  1.28081834e-07 
 4.97280000e-03  1.27951629e-07 
 4.98280000e-03  1.27861314e-07 
 4.99280000e-03  1.27812193e-07 
 5.00280000e-03  1.27805128e-07 
 5.01280000e-03  1.27840127e-07 
 5.02280000e-03  1.27916747e-07 
 5.03280000e-03  1.28033698e-07 
 5.04280000e-03  1.28189264e-07 
 5.05280000e-03  1.28380925e-07 
 5.06280000e-03  1.28605800e-07 
 5.07280000e-03  1.28860284e-07 
 5.08280000e-03  1.29140508e-07 
 5.09280000e-03  1.29441991e-07 
 5.10280000e-03  1.29760115e-07 
 5.11280000e-03  1.30089792e-07 
 5.12280000e-03  1.30425942e-07 
 5.13280000e-03  1.30763173e-07 
 5.14280000e-03  1.31096267e-07 
 5.15280000e-03  1.31419861e-07 
 5.16280000e-03  1.31728932e-07 
 5.17280000e-03  1.32018478e-07 
 5.18280000e-03  1.32283999e-07 
 5.19280000e-03  1.32521172e-07 
 5.20280000e-03  1.32726317e-07 
 5.21280000e-03  1.32896063e-07 
 5.22280000e-03  1.33027800e-07 
 5.23280000e-03  1.33119324e-07 
 5.24280000e-03  1.33169274e-07 
 5.25280000e-03  1.33176753e-07 
 5.26280000e-03  1.33141746e-07 
 5.27280000e-03  1.33064716e-07 
 5.28280000e-03  1.32947000e-07 
 5.29280000e-03  1.32790386e-07 
 5.30280000e-03  1.32597481e-07 
 5.31280000e-03  1.32371270e-07 
 5.32280000e-03  1.32115465e-07 
 5.33280000e-03  1.31834046e-07 
 5.34280000e-03  1.31531592e-07 
 5.35280000e-03  1.31212811e-07 
 5.36280000e-03  1.30882858e-07 
 5.37280000e-03  1.30546858e-07 
 5.38280000e-03  1.30210220e-07 
 5.39280000e-03  1.29878152e-07 
 5.40280000e-03  1.29555981e-07 
