 3.89045145e+00  9.09273622e-01  4.47484224e-01 
 3.93550075e+00  9.09273566e-01  4.47478831e-01 
 3.98107171e+00  9.09273508e-01  4.47473312e-01 
 4.02717034e+00  9.09273449e-01  4.47467665e-01 
 4.07380278e+00  9.09273389e-01  4.47461887e-01 
 4.12097519e+00  9.09273327e-01  4.47455974e-01 
 4.16869383e+00  9.09273263e-01  4.47449924e-01 
 4.21696503e+00  9.09273199e-01  4.47443733e-01 
 4.26579519e+00  9.09273132e-01  4.47437399e-01 
 4.31519077e+00  9.09273064e-01  4.47430917e-01 
 4.36515832e+00  9.09272995e-01  4.47424284e-01 
 4.41570447e+00  9.09272924e-01  4.47417497e-01 
 4.46683592e+00  9.09272851e-01  4.47410552e-01 
 4.51855944e+00  9.09272777e-01  4.47403446e-01 
 4.57088190e+00  9.09272701e-01  4.47396175e-01 
 4.62381021e+00  9.09272623e-01  4.47388735e-01 
 4.67735141e+00  9.09272543e-01  4.47381122e-01 
 4.73151259e+00  9.09272462e-01  4.47373332e-01 
 4.78630092e+00  9.09272378e-01  4.47365360e-01 
 4.84172368e+00  9.09272293e-01  4.47357204e-01 
 4.89778819e+00  9.09272206e-01  4.47348858e-01 
 4.95450191e+00  9.09272116e-01  4.47340318e-01 
 5.01187234e+00  9.09272025e-01  4.47331580e-01 
 5.06990708e+00  9.09271931e-01  4.47322639e-01 
 5.12861384e+00  9.09271836e-01  4.47313490e-01 
 5.18800039e+00  9.09271738e-01  4.47304129e-01 
 5.24807460e+00  9.09271637e-01  4.47294550e-01 
 5.30884444e+00  9.09271535e-01  4.47284748e-01 
 5.37031796e+00  9.09271430e-01  4.47274719e-01 
 5.43250331e+00  9.09271323e-01  4.47264457e-01 
 5.49540874e+00  9.09271213e-01  4.47253957e-01 
 5.55904257e+00  9.09271100e-01  4.47243213e-01 
 5.62341325e+00  9.09270985e-01  4.47232219e-01 
 5.68852931e+00  9.09270868e-01  4.47220971e-01 
 5.75439937e+00  9.09270747e-01  4.47209461e-01 
 5.82103218e+00  9.09270624e-01  4.47197684e-01 
 5.88843655e+00  9.09270498e-01  4.47185633e-01 
 5.95662144e+00  9.09270369e-01  4.47173303e-01 
 6.02559586e+00  9.09270237e-01  4.47160687e-01 
 6.09536897e+00  9.09270102e-01  4.47147778e-01 
 6.16595002e+00  9.09269964e-01  4.47134569e-01 
 6.23734835e+00  9.09269823e-01  4.47121054e-01 
 6.30957344e+00  9.09269678e-01  4.47107226e-01 
 6.38263486e+00  9.09269530e-01  4.47093076e-01 
 6.45654229e+00  9.09269379e-01  4.47078599e-01 
 6.53130553e+00  9.09269224e-01  4.47063786e-01 
